user_id,business_id,prediction
wf1GqnKQuvH-V3QN80UOOQ,fThrN4tfupIGetkrz18JOg,3.7791963
39FT2Ui8KUXwmUt6hnwy-g,uW6UHfONAmm8QttPkbMewQ,4.765849
7weuSPSSqYLUFga6IYP4pg,IhNASEZ3XnBHmuuVnWdIwA,4.786016
CqaIzLiWaa-lMFYBAsYQxw,G859H6xfAmVLxbzQgipuoA,4.732997
yy7shAsNWRbGg-8Y67Dzag,rS39YnrhoXmPqHLzCBjeqw,2.9516866
Uk1UKBIAwOqhjZdLm3r9zg,5CJL_2-XwCGBmOav4mFdYg,4.763479
x-8ZMKKNycT3782Kqf9loA,jgtWfJCJZty_Nctqpdtp3g,4.2782216
0FVcoJko1kfZCrJRfssfIA,JVK8szNDoy9MNiYSz_MiAA,2.710214
LcCRMIDz1JgshpPGYfLDcA,t19vb_4ML2dg5HZ-MF3muA,3.3222406
C__1BHWTGBNA5s2ZPH289g,h_UvnQfe1cuVICly_kIqHg,4.2309113
CLbpPUqP6XpeAfoqScGaJQ,QjZFYd5hme7EHegpuJngMQ,3.1421144
zDBOdWtl2PsNY38IeoE5cQ,gy-HBIeJGlQHs4RRYDLuHw,4.223963
w-_md1Qslb7r6098SHydlg,9p-cpmHaga-EXyc6ZzYCcQ,3.962289
U4INQZOPSUaj8hMjLlZ3KA,8tMy7yEeNVYylVVFRlPmdQ,3.7116816
CMu9FmdK8xpiawJowJuGQg,364hhL5st0LV16UcBHRJ3A,4.2415137
s2o_JsABvrZVm_T03qrBUw,Gen0ei06dGq13OJ8DRXUjg,4.0896177
DKolrsBSwMTpTJL22dqJRQ,RADloW1UROUn4FJFU4JJNg,3.605937
aOseJnydZYD8Og00vWylqg,fNc1WuGwiT7RhqXUIe4S8A,4.1700935
I8_iXLcpYHAb_xi2vShgOg,LR0qF0FEVsCOhYWUOiH26A,3.0250134
renPzRDqMZpMaHiCD_e1_A,xTlmLL2xZZ0xhZ2J16zXQQ,3.9267657